Recipient,Field,State,,Year
"Rao, Andal VenkatasubbaAndal Venkatasubba Rao",Social Work,Andhra Pradesh,,1957
"Ratanjankar, Shrikrishna N.Shrikrishna N. Ratanjankar",Arts,Uttar Pradesh,,1957
"Sahaya, ShyamanandanShyamanandan Sahaya",Literature & Education,Bihar,,1957
"Sardesai, Govind SakharamGovind Sakharam Sardesai",Literature & Education,Maharashtra,,1957
"Sastri, K. A. NilakantaK. A. Nilakanta Sastri",Literature & Education,Tamil Nadu,,1957
"Sen, BoshiBoshi Sen",Science & Engineering,West Bengal,,1957
"Varma, SiddheshwarSiddheshwar Varma",Literature & Education,Chandigarh,,1957
Recipient,State,Field,,
"Ali, SalimSalim Ali",Science & Engineering,Maharashtra,,1958
"Anand, VijayaVijaya Anand",Sports,Uttar Pradesh,,1958
"Roy Choudhury, D. P.D. P. Roy Choudhury",Arts,West Bengal,,1958
"Ghandy, JeahangirJeahangir Ghandy",Trade & Industry,Maharashtra,,1958
"Hardikar, Narayan SubaraoNarayan Subarao Hardikar",Social Work,Karnataka,,1958
"Iyengar, Ariyakudi RamanujaAriyakudi Ramanuja Iyengar",Arts,Tamil Nadu,,1958
"Khan, AllauddinAllauddin Khan",Arts,Uttar Pradesh,,1958
"Menon, Kumar Padma Siva ShankaraKumar Padma Siva Shankara Menon",Civil Service,Kerala,,1958
"Nambiar, Arathil C. NarayananArathil C. Narayanan Nambiar",Civil Service,Kerala,,1958
"Puttappa, Kuppali VenkatappagowdaKuppali Venkatappagowda Puttappa",Literature & Education,Karnataka,,1958
"Raju, Poola TirupatiPoola Tirupati Raju",Literature & Education,Rajasthan,,1958
"Shah, KamalendumatiKamalendumati Shah",Social Work,Delhi,,1958
"Singh, Rao Raja HanutRao Raja Hanut Singh",Public Affairs,Rajasthan,,1958
"Vakil, Rustom JalRustom Jal Vakil",Medicine,Maharashtra,,1958
"Vyas, Surya NarayanSurya Narayan Vyas",Literature & Education,Madhya Pradesh,,1958
"Wadia, Darashaw NosherwanDarashaw Nosherwan Wadia",Science & Engineering,Maharashtra,,1958
Recipient,Field,State,,
"Bhaduri, Sisir KumarSisir Kumar Bhaduri[b]",Arts,West Bengal,,1959
"Singh Dinkar, RamdhariRamdhari Singh Dinkar",Literature & Education,Bihar,,1959
"Jung, Ali YavarAli Yavar Jung",Civil Service,Maharashtra,,1959
"Mehta, Hansa JivrajHansa Jivraj Mehta",Social Work,Maharashtra,,1959
"Mudaliar, Pammal SambandhaPammal Sambandha Mudaliar",Arts,Tamil Nadu,,1959
"Murthi, Tiruppattur R. VenkatachalaTiruppattur R. Venkatachala Murthi",Literature & Education,Tamil Nadu,,1959
"Norgay, TenzingTenzing Norgay",Sports,West Bengal,,1959
"Patil, BhauraoBhaurao Patil",Social Work,Maharashtra,,1959
"Paymaster, Jal GawashawJal Gawashaw Paymaster",Medicine,Maharashtra,,1959
"Rau, Dhanvanthi RamaDhanvanthi Rama Rau",Social Work,Maharashtra,,1959
"Sidhanta, Nirmal KumarNirmal Kumar Sidhanta",Literature & Education,West Bengal,,1959
"Vasudevachary, KankanhalliKankanhalli Vasudevachary",Arts,Karnataka,,1959
"Warerkar, Bhargavram VitthalBhargavram Vitthal Warerkar",Public Affairs,Maharashtra,,1959
"Yazdan, GhulamGhulam Yazdan",Science & Engineering,Andhra Pradesh,,1959
