Name,Field,State,Country,Year
Kedar Gurung,Literature and Education,Sikkim,India,2012
Surjit Singh Patar,Literature and Education - Poetry,Punjab,India,2012
Vijay Dutt Shridhar,Literature and Education - Journalism,Madhya Pradesh,India,2012
Irwin Allan Sealy,Literature and Education,Uttarakhand,India,2012
Geeta Dharmarajan,Literature and Education,Delhi,India,2012
Sachchidanand Sahai,Literature and Education,Bihar,India,2012
Pepita Seth,Literature and Education,Kerala,India,2012
Ralte L. Thanmawia,Literature and Education,Mizoram,India,2012
Ajeet Bajaj,Sports - Skiing,Delhi,India,2012
Jhulan Goswami,Sports - Cricket,West Bengal,India,2012
Zafar Iqbal,Sports-Hockey,Uttar Pradesh,India,2012
Devendra Jhajrija,Sports - Athletics- Paralympics,Rajasthan,India,2012
Limba Ram,Sports - Archery,Rajasthan,India,2012
Syed Mohammed Arif,Sports - Badminton,Andhra Pradesh,India,2012
Ravi Chaturvedi,Sports- Commentary,Delhi,India,2012
Prabhakar Vaidya,Sports-Physical Education,Maharashtra,India,2012
T. Venkatapathi Reddiar,Others-Horticulture,Pondicherry,India,2012
K. Ullas Karanth,Others-Wildlife Conservation and Environment Protection,Karnataka,India,2012
K. Paddayya,Others-Archaeology,Maharashtra,India,2012
Swapan Guha,Others-Ceramics,Rajasthan,India,2012
Kartikeya V. Sarabhai,Others - Environmental Education,Gujarat,India,2012
Name,Field,State,Country,
Gajam Anjaiah,Art,Andhra Pradesh,India,2013
Swami G.C.D. Bharti alias Bharati Bandhu,Art,Chhattisgarh,India,2013
B. Jayashree,Art,Karnataka,India,2013
Sridevi Kapoor,Art,Tamil Nadu,India,2013
Kailash Chandra Meher,Art,Orissa,India,2013
Brahmdeo Ram Pandit,Art,Maharashtra,India,2013
Vishwanath Dinkar Patekar alias Nana Patekar,Art,Maharashtra,India,2013
Rekandar Nageswara Rao alias Surabhi Babji,Art,Andhra Pradesh,India,2013
Lakshmi Narayana Sathiraju,Art,Tamil Nadu,India,2013
Jaymala Shiledar,Art,Maharashtra,India,2013
Suresh Dattatray Talwalkar,Art,Maharashtra,India,2013
P. Madhavan Nair alias Madhu,Art,Kerala,India,2013
Apurba Kishore Bir,Art,Maharashtra,India,2013
Ghanakanta Bora Borbayan,Art,Assam,India,2013
Hilda Mit Lepcha,Art,Sikkim,India,2013
Sudha Malhotra,Art,Maharashtra,India,2013
Ghulam Mohammad Saznawaz,Art,Jammu and Kashmir,India,2013
Ramesh Gopaldas Sippy,Art,Maharashtra,India,2013
Mahrukh Tarapor,Art,Maharashtra,India,2013
Balwant Thakur,Art,Jammu & Kashmir,India,2013
Puran Das Baul,Art,West Bengal,India,2013
Rajendra Tikku,Art,Jammu & Kashmir,India,2013
Pablo Bartholomew,Art,Delhi,India,2013
S. Shakir Ali,Art,Rajasthan,India,2013
S. K. M. Maeilanandhan,Social Work,Tamil Nadu,India,2013
Nileema Mishra,Social Work,Maharashtra,India,2013
Reema Nanavati,Social Work,Gujarat,India,2013
Jharna Dhara Chowdhury,Social Work,-,Bangladesh,2013
Late Ram Krishan,Social Work,Uttar Pradesh,India,2013
Late Manju Bharat Ram,Social Work,Delhi,India,2013
Mustansir Barma,Science and Engineering,Maharashtra,India,2013
Avinash Chander,Science and Engineering,Delhi,India,2013
Sanjay Govind Dhande,Science and Engineering,Uttar Pradesh,India,2013
Sankar Kumar Pal,Science and Engineering,West Bengal,India,2013
Deepak B. Phatak,Science and Engineering,Maharashtra,India,2013
Mudundi Ramakrishna Raju,Science and Engineering,Andhra Pradesh,India,2013
Ajay K. Sood,Science and Engineering,Karnataka,India,2013
Krishnaswamy Vijayraghavan,Science and Engineering,Karnataka,India,2013
Manindra Agrawal,Science and Engineering,Uttar Pradesh,India,2013
Jayaraman Gowrishankar,Science and Engineering,Andhra Pradesh,India,2013
Sharad Pandurang Kale,Science and Engineering,Maharashtra,India,2013
Vandana Luthra,Trade and Industry,Delhi,India,2013
Rajshree Pathy,Trade and Industry,Tamil Nadu,India,2013
Hemendra Prasad Barooah,Trade and Industry,Assam,India,2013
Milind Kamble,Trade and Industry,Maharashtra,India,2013
Kalpana Saroj,Trade and Industry,Maharashtra,India,2013
Sudarshan K. Aggarwal,Medicine,Delhi,India,2013
C. Venkata S. Ram,Medicine,Andhra Pradesh,India,2013
Rajendra Achyut Badwe,Medicine,Maharashtra,India,2013
Taraprasad Das,Medicine,Orissa,India,2013
Dr. T. V. Devarajan,Medicine,Tamil Nadu,India,2013
Dr. Saroj Chooramani Gopal,Medicine,Uttar Pradesh,India,2013
Pramod Kumar Julka,Medicine,Delhi,India,2013
Gulshan Rai Khatri,Medicine,Delhi,India,2013
Ganesh Kumar Mani,Medicine,Delhi,India,2013
Amit Prabhakar Maydeo,Medicine,Maharashtra,India,2013
Sundaram Natarajan,Medicine,Maharashtra,India,2013
Krishna Chandra Chunekar,Medicine,Uttar Pradesh,India,2013
Vishwa Kumar Gupta,Medicine,Delhi,India,2013
(Capt.) Mohammad Sharaf-e-Alam,Literature & Education,Bihar,India,2013
Radhika Herzberger,Literature & Education,Andhra Pradesh,India,2013
J. Malsawma,Literature & Education,Mizoram,India,2013
Devendra Patel,Literature & Education,Gujarat,India,2013
Rama Kant Shukla,Literature & Education,Delhi,India,2013
Akhtarul Wasey,Literature & Education,Delhi,India,2013
Anvita Abbi,Literature & Education,Delhi,India,2013
Nida Fazli,Literature & Education,Madhya Pradesh,India,2013
Surender Kumar Sharma,Literature & Education,Delhi,India,2013
Jagdish Prasad Singh,Literature & Education,Bihar,India,2013
Late Shaukat Riaz Kapoor Alias Salik Lakhnawi,Literature & Education,West Bengal,India,2013
Noboru Karashima,Literature & Education,-,Japan,2013
Christopher Pinney,Literature & Education,-,UK,2013
Premlata Agrawal,Sports,Jharkhand,India,2013
Yogeshwar Dutt,Sports,Haryana,India,2013
Hosanagara Nagarajegowda Girisha,Sports,Karnataka,India,2013
Subedar Major Vijay Kumar (sport shooter),Sports,Himachal Pradesh,India,2013
Ngangom Dingko Singh,Sports,Manipur,India,2013
Naib Subedar Bajrang Lal Takhar,Sports,Rajasthan,India,2013
Ritu Kumar,Fashion Designing,Delhi,India,2013
Ravindra Singh Bisht,Archaeology,Uttar Pradesh,India,2013
Name,Field,State,Country,
Mohammad Ali Baig,Art - Theatre,Telangana,India,2014
Nayana Apte Joshi,Art,Maharashtra,India,2014
Musafir Ram Bhardwaj,Art - Instrumental Music - Pauna Manjha,Himachal Pradesh,India,2014
Sabitri Chatterjee,Art - Film,West Bengal,India,2014
Biman Bihari Das,Art - Sculptor,Delhi,India,2014
Sunil Das,Art - Painting,West Bengal,India,2014
Elam Endira Devi,Art - Manipuri Dance,Manipur,India,2014
Vijay Ghate,Art - Instrumental Music - Tabla,Maharashtra,India,2014
Rani Karnaa,Art - Kathak,West Bengal,India,2014
Bansi Kaul,Art - Theatre,Jammu and Kashmir,India,2014
Moinuddin Khan,Art - Instrumental Music-Sarangi Player,Rajasthan,India,2014
Geeta Mahalik,Art - Odishi Dance,Delhi,India,2014
Paresh Maity,Art - Painting,Delhi,India,2014
Ram Mohan,Art - Film Animation,Maharashtra,India,2014
Sudarshan Pattnaik,Art - Sand Artist,Orissa,India,2014
Paresh Rawal,Art - Cinema and Theatre,Maharashtra,India,2014
Wendell Augustine Rodricks,Art - Fashion Designing,Goa,India,2014
Kalamandalam Satyabhama,Art - Mohini Attam,Kerala,India,2014
Anuj (Ramanuj) Sharma,Art - Performing Art,Chhattisgarh,India,2014
Santosh Sivan,Art - Film,Tamil Nadu,India,2014
Supriya Devi,Art-Bengali Cinema,West Bengal,India,2014
Sooni Taraporevala,Art- Script Writing,Maharashtra,India,2014
Vidya Balan,Art-Cinema,Maharashtra,India,2014
Durga Jain,Social Work,Maharashtra,India,2014
Rama Rao Anumolu,Social Work,Andhra Pradesh,India,2014
Brahm Dutt,Social Work,Haryana,India,2014
Mukul Chandra Goswami,Social Work,Assam,India,2014
J. L. Kaul,Social Work,Delhi,India,2014
Mathur Savani,Social Work,Gujarat,India,2014
Tashi Tondup,Public Affairs,Jammu and Kashmir,India,2014
Hasmukh Chamanlal Shah,Public Affairs,Gujarat,India,2014
Sekhar Basu,Science and Engineering,Maharashtra,India [8],2014
Madhavan Chandradathan,Science and Engineering,Kerala,India,2014
Ravi Grover,Science and Engineering,Maharashtra,India,2014
Eluvathingal Devassy Jemmis,Science and Engineering,Karnataka,India,2014
Ramakrishna V. Hosur,Science and Engineering,Maharashtra,India,2014
Ajay Kumar Parida,Science and Engineering,Tamil Nadu,India,2014
Malapaka Yajneswara Satyanarayana Prasad,Science and Engineering,Andhra Pradesh,India,2014
Kiran Kumar Alur Seelin,Science and Engineering,Gujarat,India,2014
Brahma Singh,Science and Engineering,Delhi,India,2014
Vinod Kumar Singh,Science and Engineering,Madhya Pradesh,India,2014
Govindan Sundararajan,Science and Engineering,Andhra Pradesh,India,2014
R. Iyer,Science and Engineering,Delhi,India,2014
Jayanta Kumar Ghosh,Science and Engineering,West Bengal,India,2014
Ravi Kumar Narra,Trade and Industry,Andhra Pradesh,India,2014
Rajesh Saraiya,Trade and Industry,Maharashtra,India,2014
Mallika Srinivasan,Trade and Industry,Tamil Nadu,India,2014
Pratap Govindrao Pawar,Trade and Industry,Maharashtra,India,2014
Kiritkumar Mansukhlal Acharya,Medicine - Dermatology,Gujarat,India,2014
Balram Bhargava,Medicine - Cardiology,Uttar Pradesh,India,2014
Indira Chakravarty,Medicine - Health and Hygiene,West Bengal,India,2014
Ramakant Krishnaji Deshpande,Medicine - Oncology,Maharashtra,India,2014
Pawan Raj Goyal,Medicine - Chest Disease,Haryana,India,2014
Amod Gupta,Medicine - Ophthalmology,Haryana,India,2014
Daya Kishore Hazra,Medicine,Uttar Pradesh,India,2014
Thenumgal Poulose Jacob,Medicine - Vascular Surgery,Tamil Nadu,India,2014
Shashank R. Joshi,Medicine - Endocrinology,Maharashtra,India,2014
Hakim Syed Khaleefathullah,Medicine - Unani Medicine,Tamil Nadu,India,2014
Milind Vasant Kirtane,Medicine - ENT Surgeory,Maharashtra,India,2014
Lalit Kumar,Medicine - Oncology,Delhi,India,2014
Mohan Mishra,Medicine,Bihar,India,2014
M. Subhadra Nair,Medicine - Gyneacology,Kerala,India,2014
Ashok Panagariya,Medicine - Neurology,Rajasthan,India,2014
Narendra Kumar Pandey,Medicine - Surgery,Haryana,India,2014
Sunil Pradhan,Medicine - Neurology,Uttar Pradesh,India,2014
Ashok Rajgopal,Medicine - Orthopaedics,Delhi,India,2014
Kamini A. Rao,Medicine - Reproductive Medicine,Karnataka,India,2014
Sarbeswar Sahariah,Medicine - Surgery,Andhra Pradesh,India,2014
Om Prakash Upadhyaya,Medicine,Punjab,India,2014
Mahesh Verma,Medicine - Dental Science,Delhi,India,2014
J. S. Titiyal,Medicine- Ophthalmology,Delhi,India,2014
Nitish Naik,Medicine- Cardiology,Delhi,India,2014
Subrat Kumar Acharya,Medicine- Gastroentrology,Delhi,India,2014
Rajesh Kumar Grover,Medicine-Oncology,Delhi,India,2014
Naheed Abidi,Literature and Education,Uttar Pradesh,India,2014
Ashok Chakradhar,Literature and Education,Delhi,India,2014
Chhakchhuak Chhuanvawram,Literature and Education,Mizoram,India,2014
Keki N. Daruwalla,Literature and Education,Delhi,India,2014
Ganesh Narayandas Devy,Literature and Education,Gujarat,India,2014
Kolakaluri Enoch,Literature and Education,Andhra Pradesh,India,2014
Ved Kumari Ghai,Literature and Education,Jammu and Kashmir,India,2014
Manorama Jafa,Literature and Education,Delhi,India,2014
Rehana Khatoon,Literature and Education,Delhi,India,2014
Waikhom Gojen Meitei,Literature and Education,Manipur,India,2014
Vishnu Narayanan Namboothiri,Literature and Education,Kerala,India,2014
Dinesh Singh (academic),Literature and Education,Delhi,India,2014
P. Kilemsungla,Literature and Education,Nagaland,India,2014
Anjum Chopra,Sports - Cricket,Delhi,India,2014
Sunil Dabas,Sports - Kabbadi,Haryana,India,2014
Love Raj Singh Dharmshaktu,Sports - Mountaineering,Delhi,India,2014
Dipika Rebecca Pallikal,Sports - Squash,Kerala,India,2014
H. Boniface Prabhu,Sports - Wheelchair Tennis,Karnataka,India,2014
Yuvraj Singh,Sports - Cricket,Punjab,India,2014
Mamta Sodha,Sports - Mountaineering,Haryana,India,2014
Parveen Talha,Civil Service,Uttar Pradesh,India,2014
Narendra Dabholkar,Social Work,Maharashtra,India,2014
Ashok Kumar Mago,Trade and Industry,,USA,2014
Siddharth Mukherjee,Medicine-Oncology,,USA,2014
Vamsi Mootha,Medicine - Biomedical Research,,USA,2014
Sengaku Maeda,Literature and Education,,Japan,2014
Name,Field,State,Country,
Manjula Anagani,Medicine,Telangana,India,2015
S. Arunan,Science and Engineering,Karnataka,India,2015
Kanyakumari Avasarala,Art,Tamil Nadu,India,2015
Bettina Sharada Baumer,Literature and Education,Jammu and Kashmir,India,2015
Naresh Bedi,Art,Delhi,India,2015
Ashok Bhagat,Social Work,Jharkhand,India,2015
Sanjay Leela Bhansali,Art,Maharashtra,India,2015
Lakshmi Nandan Bora,Literature and Education,Assam,India,2015
Gyan Chaturvedi,Literature and Education,Madhya Pradesh,India,2015
Yogesh Kumar Chawla,Medicine,Chandigarh,India,2015
Jayakumari Chikkala,Medicine,Delhi,India,2015
Bibek Debroy,Literature and Education,Delhi,India,2015
Sarungbam Bimola Kumari Devi,Medicine,Manipur,India,2015
Ashok Gulati,Public Affairs,Delhi,India,2015
Randeep Guleria,Medicine,Delhi,India,2015
K. P. Haridas,Medicine,Kerala,India,2015
Rahul Jain,Art,Delhi,India,2015
Ravindra Jain,Art,Maharashtra,India,2015
Sunil Jogi,Literature and Education,Delhi,India,2015
Prasoon Joshi,Art,Maharashtra,India,2015
Prafulla Kar,Art,Odisha,India,2015
